fmc_loc;fmc_pin_name;fmc_io_standard;fpga_port_name;fpga_pin;comment
K1;;;;;
K2;;;;;
K3;;;;;
K4;Trig_oscillo;LVCMOS25;o_trig_oscillo;C12;
K5;;;;C11;
K6;;;;;
K7;;;;AE23;
K8;;;;AF23;
K9;;;;;
K10;;;;AB22;
K11;;;;AC22;
K12;;;;;
K13;;;;AA23;
K14;;;;AB24;
K15;;;;;
K16;i_spare_clock_P;LVDS25;;AC23;
K17;i_spare_clock_N;LVDS25;;AC24;
K18;;;;;
K19;i_spare_01_P;LVDS25;;AE22;
K20;i_spare_01_N;LVDS25;;AF22;
K21;;;;;
K22;i_spare_04_P;LVDS25;;W20;
K23;i_spare_04_N;LVDS25;;Y21;
K24;;;;;
K25;;;;AA17;
K26;;;;AA18;
K27;;;;;
K28;;;;AB17;
K29;;;;AC17;
K30;;;;;
K31;;;;Y15;
K32;;;;Y16;
K33;;;;;
K34;;;;AE17;
K35;;;;AF17;
K36;;;;;
K37;;;;AC18;
K38;;;;AD18;
K39;;;;;
K40;;;;;
